# Iterations  ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
1329 7.922569e-05 3.413161e-04 2.215375e-04 2.385450e-04 4.941360e-03 5.141664e-09
1330 7.893276e-05 3.420792e-04 2.215175e-04 2.375405e-04 4.922866e-03 5.171470e-09
1331 7.863556e-05 3.429002e-04 2.215550e-04 2.365483e-04 4.904098e-03 5.201485e-09
1332 7.833411e-05 3.437838e-04 2.216373e-04 2.355584e-04 4.885061e-03 5.231803e-09
1333 7.802881e-05 3.447340e-04 2.217500e-04 2.345589e-04 4.865787e-03 5.262364e-09
1334 7.772078e-05 3.457579e-04 2.218777e-04 2.335394e-04 4.846349e-03 5.293278e-09
1335 7.741089e-05 3.468568e-04 2.220031e-04 2.324901e-04 4.826813e-03 5.324614e-09
1336 7.710029e-05 3.480339e-04 2.221102e-04 2.314033e-04 4.807260e-03 5.356332e-09
1337 7.678974e-05 3.492896e-04 2.221841e-04 2.302711e-04 4.787745e-03 5.388473e-09
1338 7.648081e-05 3.506231e-04 2.222126e-04 2.290881e-04 4.768373e-03 5.421189e-09
1339 7.617391e-05 3.520324e-04 2.221913e-04 2.278499e-04 4.749175e-03 5.454469e-09
1340 7.586976e-05 3.535161e-04 2.221163e-04 2.265521e-04 4.730199e-03 5.488329e-09
1341 7.556699e-05 3.550712e-04 2.219946e-04 2.251906e-04 4.711362e-03 5.522859e-09
1342 7.526522e-05 3.566906e-04 2.218357e-04 2.237627e-04 4.692642e-03 5.558023e-09
1343 7.496148e-05 3.583696e-04 2.216527e-04 2.222647e-04 4.673855e-03 5.593835e-09
1344 7.465443e-05 3.601009e-04 2.214655e-04 2.206975e-04 4.654917e-03 5.630316e-09
1345 7.434216e-05 3.618756e-04 2.212919e-04 2.190604e-04 4.635707e-03 5.667506e-09
1346 7.402309e-05 3.636858e-04 2.211477e-04 2.173562e-04 4.616124e-03 5.705368e-09
1347 7.369529e-05 3.655219e-04 2.210480e-04 2.155896e-04 4.596045e-03 5.743877e-09
1348 7.335750e-05 3.673752e-04 2.210060e-04 2.137648e-04 4.575393e-03 5.783092e-09
1349 7.301009e-05 3.692405e-04 2.210339e-04 2.118891e-04 4.554187e-03 5.822964e-09
1350 7.265076e-05 3.711090e-04 2.211372e-04 2.099701e-04 4.532284e-03 5.863437e-09
1351 7.228073e-05 3.729680e-04 2.213170e-04 2.080161e-04 4.509750e-03 5.904439e-09
1352 7.190038e-05 3.748093e-04 2.215737e-04 2.060357e-04 4.486619e-03 5.945886e-09
1353 7.151164e-05 3.766233e-04 2.219023e-04 2.040360e-04 4.463016e-03 5.987674e-09
1354 7.111694e-05 3.784004e-04 2.222904e-04 2.020221e-04 4.439090e-03 6.029639e-09
1355 7.071923e-05 3.801313e-04 2.227220e-04 1.999999e-04 4.415031e-03 6.071610e-09
1356 7.032126e-05 3.818079e-04 2.231823e-04 1.979723e-04 4.391010e-03 6.113408e-09
1357 6.992710e-05 3.834204e-04 2.236490e-04 1.959400e-04 4.367278e-03 6.154820e-09
1358 6.954029e-05 3.849559e-04 2.240994e-04 1.939028e-04 4.344054e-03 6.195694e-09
1359 6.916391e-05 3.864055e-04 2.245195e-04 1.918575e-04 4.321528e-03 6.235867e-09
1360 6.880112e-05 3.877608e-04 2.249025e-04 1.898004e-04 4.299888e-03 6.275230e-09
1361 6.845355e-05 3.890141e-04 2.252416e-04 1.877266e-04 4.279216e-03 6.313650e-09
1362 6.812289e-05 3.901602e-04 2.255356e-04 1.856335e-04 4.259595e-03 6.351183e-09
1363 6.780791e-05 3.911831e-04 2.257926e-04 1.835195e-04 4.240934e-03 6.387937e-09
1364 6.750757e-05 3.920731e-04 2.260222e-04 1.813848e-04 4.223139e-03 6.424070e-09
1365 6.722118e-05 3.928179e-04 2.262349e-04 1.792363e-04 4.206126e-03 6.459761e-09
1366 6.694540e-05 3.934061e-04 2.264414e-04 1.770839e-04 4.189679e-03 6.495232e-09
1367 6.667820e-05 3.938281e-04 2.266464e-04 1.749419e-04 4.173631e-03 6.530855e-09
1368 6.641624e-05 3.940806e-04 2.268559e-04 1.728274e-04 4.157765e-03 6.566980e-09
1369 6.615831e-05 3.941501e-04 2.270671e-04 1.707633e-04 4.141961e-03 6.603967e-09
1370 6.590335e-05 3.940339e-04 2.272730e-04 1.687725e-04 4.126153e-03 6.642181e-09
1371 6.565186e-05 3.937409e-04 2.274618e-04 1.668789e-04 4.110369e-03 6.681926e-09
1372 6.540562e-05 3.932543e-04 2.276159e-04 1.651039e-04 4.094699e-03 6.723498e-09
1373 6.516588e-05 3.925877e-04 2.277225e-04 1.634642e-04 4.079230e-03 6.767159e-09
1374 6.493670e-05 3.917381e-04 2.277648e-04 1.619725e-04 4.064207e-03 6.813071e-09
