# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1316 4.656796e-10 7.411654e-10 8.967770e-10 1.002057e-09 2.928190e-08 2.653816e-15
1317 4.692965e-10 7.436925e-10 9.001389e-10 1.002007e-09 2.951801e-08 2.683294e-15
1318 4.735331e-10 7.462276e-10 9.027587e-10 1.001464e-09 2.978246e-08 2.713450e-15
1319 4.780272e-10 7.485845e-10 9.046272e-10 1.000886e-09 3.006767e-08 2.744947e-15
1320 4.828494e-10 7.508563e-10 9.064702e-10 1.000596e-09 3.037839e-08 2.777758e-15
1321 4.879225e-10 7.526403e-10 9.078891e-10 1.000357e-09 3.070099e-08 2.811598e-15
1322 4.932317e-10 7.540553e-10 9.095573e-10 1.000266e-09 3.103592e-08 2.846442e-15
1323 4.987411e-10 7.550589e-10 9.111740e-10 1.000003e-09 3.138970e-08 2.881780e-15
1324 5.045505e-10 7.559127e-10 9.125477e-10 9.993807e-10 3.174890e-08 2.917595e-15
1325 5.104221e-10 7.564039e-10 9.129287e-10 9.978813e-10 3.211423e-08 2.954330e-15
1326 5.163179e-10 7.567740e-10 9.128950e-10 9.952914e-10 3.248249e-08 2.991244e-15
1327 5.221398e-10 7.570982e-10 9.127714e-10 9.917537e-10 3.285588e-08 3.027374e-15
1328 5.282136e-10 7.571709e-10 9.120759e-10 9.889565e-10 3.323620e-08 3.063576e-15
1329 5.341477e-10 7.577789e-10 9.116116e-10 9.851422e-10 3.361457e-08 3.099975e-15
1330 5.403648e-10 7.580331e-10 9.111959e-10 9.810403e-10 3.399745e-08 3.137000e-15
1331 5.463975e-10 7.590847e-10 9.113311e-10 9.775131e-10 3.437504e-08 3.173303e-15
1332 5.525893e-10 7.601701e-10 9.124404e-10 9.748667e-10 3.475667e-08 3.210327e-15
1333 5.587880e-10 7.622390e-10 9.144631e-10 9.724336e-10 3.515062e-08 3.246431e-15
1334 5.647520e-10 7.650124e-10 9.161271e-10 9.706923e-10 3.551454e-08 3.282730e-15
1335 5.709689e-10 7.685418e-10 9.171518e-10 9.689962e-10 3.591022e-08 3.319213e-15
1336 5.775017e-10 7.724980e-10 9.173245e-10 9.674519e-10 3.631498e-08 3.356140e-15
1337 5.842620e-10 7.762951e-10 9.168986e-10 9.653104e-10 3.674663e-08 3.393454e-15
1338 5.912594e-10 7.799291e-10 9.160805e-10 9.628623e-10 3.718092e-08 3.431832e-15
1339 5.985884e-10 7.830030e-10 9.149791e-10 9.601587e-10 3.764663e-08 3.470744e-15
1340 6.064268e-10 7.859902e-10 9.141496e-10 9.566274e-10 3.812358e-08 3.510989e-15
1341 6.144578e-10 7.886211e-10 9.133768e-10 9.529839e-10 3.862787e-08 3.552917e-15
1342 6.227869e-10 7.909874e-10 9.128339e-10 9.495594e-10 3.915853e-08 3.595656e-15
1343 6.309855e-10 7.932193e-10 9.126536e-10 9.462060e-10 3.966541e-08 3.639764e-15
1344 6.389916e-10 7.949348e-10 9.129691e-10 9.433441e-10 4.016856e-08 3.684696e-15
1345 6.468621e-10 7.969662e-10 9.132785e-10 9.409188e-10 4.066379e-08 3.730159e-15
1346 6.545140e-10 7.988014e-10 9.144924e-10 9.390326e-10 4.114467e-08 3.776148e-15
1347 6.617673e-10 8.005463e-10 9.165212e-10 9.376423e-10 4.160090e-08 3.821749e-15
1348 6.690202e-10 8.021211e-10 9.196407e-10 9.356931e-10 4.206466e-08 3.866734e-15
1349 6.760492e-10 8.041826e-10 9.236919e-10 9.335245e-10 4.250852e-08 3.910644e-15
1350 6.826950e-10 8.059515e-10 9.278629e-10 9.310738e-10 4.292733e-08 3.953822e-15
1351 6.893988e-10 8.077145e-10 9.328238e-10 9.282969e-10 4.334245e-08 3.995008e-15
