# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
904 6.988299e-02 6.023588e-02 9.647116e-03 3.477721e-01 3.480019e-01 -2.298254e-04 -2.798696e-02
905 6.939055e-02 5.974367e-02 9.646886e-03 3.469208e-01 3.471511e-01 -2.303190e-04 -2.794427e-02
906 6.887880e-02 5.923217e-02 9.646631e-03 3.460129e-01 3.462437e-01 -2.308298e-04 -2.789915e-02
907 6.834581e-02 5.869945e-02 9.646355e-03 3.450458e-01 3.452772e-01 -2.313558e-04 -2.785042e-02
908 6.778961e-02 5.814354e-02 9.646062e-03 3.440166e-01 3.442485e-01 -2.318948e-04 -2.779633e-02
909 6.720903e-02 5.756327e-02 9.645757e-03 3.429233e-01 3.431558e-01 -2.324414e-04 -2.773575e-02
910 6.660278e-02 5.695734e-02 9.645443e-03 3.417637e-01 3.419967e-01 -2.329925e-04 -2.766667e-02
911 6.597053e-02 5.632541e-02 9.645125e-03 3.405369e-01 3.407705e-01 -2.335425e-04 -2.758786e-02
912 6.531169e-02 5.566688e-02 9.644807e-03 3.392419e-01 3.394760e-01 -2.340879e-04 -2.749767e-02
913 6.462603e-02 5.498154e-02 9.644489e-03 3.378776e-01 3.381122e-01 -2.346254e-04 -2.739436e-02
914 6.391348e-02 5.426930e-02 9.644175e-03 3.364440e-01 3.366792e-01 -2.351490e-04 -2.727677e-02
915 6.317405e-02 5.353018e-02 9.643867e-03 3.349410e-01 3.351767e-01 -2.356577e-04 -2.714321e-02
916 6.240783e-02 5.276427e-02 9.643564e-03 3.333688e-01 3.336049e-01 -2.361470e-04 -2.699238e-02
917 6.161513e-02 5.197186e-02 9.643267e-03 3.317285e-01 3.319651e-01 -2.366152e-04 -2.682279e-02
918 6.079584e-02 5.115286e-02 9.642976e-03 3.300209e-01 3.302580e-01 -2.370596e-04 -2.663306e-02
919 5.995004e-02 5.030735e-02 9.642691e-03 3.282467e-01 3.284842e-01 -2.374786e-04 -2.642211e-02
920 5.907778e-02 4.943537e-02 9.642410e-03 3.264073e-01 3.266451e-01 -2.378702e-04 -2.618875e-02
921 5.817915e-02 4.853702e-02 9.642134e-03 3.245042e-01 3.247425e-01 -2.382326e-04 -2.593200e-02
922 5.725409e-02 4.761223e-02 9.641863e-03 3.225393e-01 3.227778e-01 -2.385643e-04 -2.565067e-02
923 5.630272e-02 4.666113e-02 9.641596e-03 3.205146e-01 3.207535e-01 -2.388663e-04 -2.534356e-02
