# Iter  CD  CDp  CDf 
430 3.032257e-01 2.724517e-01 3.077402e-02
431 3.036163e-01 2.729378e-01 3.067850e-02
432 2.981795e-01 2.675982e-01 3.058124e-02
433 2.870711e-01 2.565897e-01 3.048139e-02
434 2.705583e-01 2.401804e-01 3.037788e-02
435 2.490659e-01 2.187961e-01 3.026978e-02
436 2.231246e-01 1.929686e-01 3.015604e-02
437 1.934102e-01 1.633743e-01 3.003589e-02
438 1.607070e-01 1.307983e-01 2.990872e-02
439 1.259170e-01 9.614326e-02 2.977372e-02
440 9.001102e-02 6.038067e-02 2.963035e-02
441 5.504358e-02 2.556063e-02 2.948295e-02
442 2.187382e-02 -7.458115e-03 2.933194e-02
443 -8.796847e-03 -3.797461e-02 2.917776e-02
444 -3.643051e-02 -6.545142e-02 2.902092e-02
445 -6.063594e-02 -8.949784e-02 2.886190e-02
446 -8.117418e-02 -1.098757e-01 2.870153e-02
447 -9.791069e-02 -1.264511e-01 2.854037e-02
448 -1.108285e-01 -1.392076e-01 2.837907e-02
449 -1.199961e-01 -1.482144e-01 2.821826e-02
450 -1.255582e-01 -1.536169e-01 2.805865e-02
451 -1.276720e-01 -1.555680e-01 2.789607e-02
452 -1.262977e-01 -1.540288e-01 2.773107e-02
453 -1.214625e-01 -1.490269e-01 2.756440e-02
454 -1.132675e-01 -1.406645e-01 2.739695e-02
455 -1.019058e-01 -1.291351e-01 2.722937e-02
456 -8.764294e-02 -1.147054e-01 2.706246e-02
457 -7.082033e-02 -9.771730e-02 2.689697e-02
458 -5.183556e-02 -7.856946e-02 2.673390e-02
459 -3.115950e-02 -5.773357e-02 2.657408e-02
460 -9.307546e-03 -3.572588e-02 2.641833e-02
461 1.315209e-02 -1.311537e-02 2.626745e-02
462 3.563132e-02 9.509260e-03 2.612206e-02
463 5.751132e-02 3.152861e-02 2.598271e-02
464 7.816296e-02 5.231309e-02 2.584987e-02
465 9.694671e-02 7.122268e-02 2.572403e-02
466 1.132904e-01 8.768505e-02 2.560536e-02
467 1.266851e-01 1.011912e-01 2.549388e-02
468 1.367218e-01 1.113324e-01 2.538943e-02
469 1.431001e-01 1.178083e-01 2.529188e-02
470 1.456080e-01 1.204074e-01 2.520058e-02
471 1.443079e-01 1.191908e-01 2.511711e-02
472 1.395378e-01 1.144975e-01 2.504026e-02
473 1.317062e-01 1.067374e-01 2.496886e-02
474 1.212630e-01 9.636116e-02 2.490185e-02
475 1.087147e-01 8.387630e-02 2.483835e-02
476 9.456204e-02 6.978473e-02 2.477731e-02
477 7.879622e-02 5.408015e-02 2.471607e-02
478 6.183223e-02 3.717816e-02 2.465407e-02
479 4.415202e-02 1.956153e-02 2.459049e-02
480 2.625530e-02 1.730632e-03 2.452467e-02
481 8.667275e-03 -1.578858e-02 2.445586e-02
482 -8.110324e-03 -3.249377e-02 2.438344e-02
483 -2.356939e-02 -4.787641e-02 2.430702e-02
484 -3.723007e-02 -6.145621e-02 2.422614e-02
485 -4.867948e-02 -7.281984e-02 2.414035e-02
486 -5.750645e-02 -8.155589e-02 2.404944e-02
487 -6.341565e-02 -8.736888e-02 2.395323e-02
488 -6.621562e-02 -9.006737e-02 2.385175e-02
489 -6.583292e-02 -8.957828e-02 2.374535e-02
490 -6.229475e-02 -8.592913e-02 2.363438e-02
491 -5.572040e-02 -7.923941e-02 2.351901e-02
492 -4.636289e-02 -6.976272e-02 2.339983e-02
493 -3.457574e-02 -5.785320e-02 2.327746e-02
494 -2.081641e-02 -4.396909e-02 2.315268e-02
495 -5.630422e-03 -2.865669e-02 2.302626e-02
496 1.037190e-02 -1.252721e-02 2.289910e-02
497 2.608993e-02 3.314224e-03 2.277571e-02
498 4.096355e-02 1.830688e-02 2.265667e-02
499 5.452975e-02 3.198726e-02 2.254249e-02
500 6.676260e-02 4.433239e-02 2.243021e-02
501 7.723888e-02 5.491851e-02 2.232037e-02
502 8.557752e-02 6.336412e-02 2.221340e-02
503 9.145576e-02 6.934613e-02 2.210964e-02
504 9.465614e-02 7.264686e-02 2.200928e-02
505 9.507831e-02 7.316585e-02 2.191246e-02
506 9.273402e-02 7.091476e-02 2.181925e-02
507 8.774617e-02 6.601669e-02 2.172948e-02
508 8.033985e-02 5.869694e-02 2.164292e-02
509 7.086343e-02 4.930431e-02 2.155912e-02
510 5.975103e-02 3.827342e-02 2.147761e-02
511 4.754145e-02 2.614352e-02 2.139793e-02
512 3.482008e-02 1.350058e-02 2.131949e-02
513 2.219657e-02 9.549004e-04 2.124167e-02
514 1.025911e-02 -1.090485e-02 2.116396e-02
515 -4.417371e-04 -2.152740e-02 2.108567e-02
516 -9.423422e-03 -3.042970e-02 2.100628e-02
517 -1.616675e-02 -3.709454e-02 2.092779e-02
518 -2.060242e-02 -4.145232e-02 2.084990e-02
519 -2.279048e-02 -4.356297e-02 2.077249e-02
520 -2.282272e-02 -4.351582e-02 2.069310e-02
521 -2.076987e-02 -4.138165e-02 2.061178e-02
522 -1.681319e-02 -3.734192e-02 2.052873e-02
523 -1.120175e-02 -3.164564e-02 2.044389e-02
524 -4.265954e-03 -2.462342e-02 2.035746e-02
525 3.587730e-03 -1.668198e-02 2.026971e-02
526 1.191909e-02 -8.261687e-03 2.018077e-02
527 2.027316e-02 1.822202e-04 2.009094e-02
